,Region,Country,City,Filename
0,africa_wmo_region_1,DZA,Algiers,DZA_Algiers.603900_IWEC.epw
0,africa_wmo_region_1,EGY,Al.Minya,EGY_Al.Minya.623870_ETMY.epw
0,africa_wmo_region_1,EGY,Alexandria,EGY_Alexandria.623180_ETMY.epw
0,africa_wmo_region_1,EGY,Aswan,EGY_Aswan.624140_ETMY.epw
0,africa_wmo_region_1,EGY,Aswan,EGY_Aswan.624140_IWEC.epw
0,africa_wmo_region_1,EGY,Asyut,EGY_Asyut.623930_ETMY.epw
0,africa_wmo_region_1,EGY,Cairo,EGY_Cairo.623660_IWEC.epw
0,africa_wmo_region_1,EGY,Cairo.Intl.Airport,EGY_Cairo.Intl.Airport.623660_ETMY.epw
0,africa_wmo_region_1,EGY,El.Arish,EGY_El.Arish.623370_ETMY.epw
0,africa_wmo_region_1,EGY,Helwan,EGY_Helwan.623780_ETMY.epw
0,africa_wmo_region_1,EGY,Hurghada,EGY_Hurghada.624630_ETMY.epw
0,africa_wmo_region_1,EGY,Ismailia,EGY_Ismailia.624400_ETMY.epw
0,africa_wmo_region_1,EGY,Kharga,EGY_Kharga.624350_ETMY.epw
0,africa_wmo_region_1,EGY,Luxor,EGY_Luxor.624050_ETMY.epw
0,africa_wmo_region_1,ETH,Addis.Ababa-Bole,ETH_Addis.Ababa-Bole.634500_SWERA.epw
0,africa_wmo_region_1,ETH,Awassa,ETH_Awassa.634600_SWERA.epw
0,africa_wmo_region_1,ETH,Bahar.Dar,ETH_Bahar.Dar.633320_SWERA.epw
0,africa_wmo_region_1,ETH,Combolcha,ETH_Combolcha.633330_SWERA.epw
0,africa_wmo_region_1,ETH,Debre.Marcos,ETH_Debre.Marcos.633340_SWERA.epw
0,africa_wmo_region_1,ETH,Dire.Dawa,ETH_Dire.Dawa.634710_SWERA.epw
0,africa_wmo_region_1,ETH,Gondar,ETH_Gondar.633310_SWERA.epw
0,africa_wmo_region_1,ETH,Jimma,ETH_Jimma.634020_SWERA.epw
0,africa_wmo_region_1,ETH,Metehara,ETH_Metehara.634530_SWERA.epw
0,africa_wmo_region_1,GHA,Accra,GHA_Accra.654720_SWERA.epw
0,africa_wmo_region_1,KEN,Eldoret,KEN_Eldoret.636860_SWERA.epw
0,africa_wmo_region_1,KEN,Embu,KEN_Embu.637200_SWERA.epw
0,africa_wmo_region_1,KEN,Garissa,KEN_Garissa.637230_SWERA.epw
0,africa_wmo_region_1,KEN,Kakamega,KEN_Kakamega.636870_SWERA.epw
0,africa_wmo_region_1,KEN,Kisii,KEN_Kisii.637090_SWERA.epw
0,africa_wmo_region_1,KEN,Kisumu,KEN_Kisumu.637080_SWERA.epw
0,africa_wmo_region_1,KEN,Kitale,KEN_Kitale.636610_SWERA.epw
0,africa_wmo_region_1,KEN,Lamu-Manda.Island,KEN_Lamu-Manda.Island.637720_SWERA.epw
0,africa_wmo_region_1,KEN,Lodwar,KEN_Lodwar.636120_SWERA.epw
0,africa_wmo_region_1,KEN,Makindu,KEN_Makindu.637660_SWERA.epw
0,africa_wmo_region_1,KEN,Malindi,KEN_Malindi.637990_SWERA.epw
0,africa_wmo_region_1,KEN,Mandera,KEN_Mandera.636240_SWERA.epw
0,africa_wmo_region_1,KEN,Marsabit,KEN_Marsabit.636410_SWERA.epw
0,africa_wmo_region_1,KEN,Meru,KEN_Meru.636950_SWERA.epw
0,africa_wmo_region_1,KEN,Mombasa-Moi,KEN_Mombasa-Moi.638200_SWERA.epw
0,africa_wmo_region_1,KEN,Moyale,KEN_Moyale.636190_SWERA.epw
0,africa_wmo_region_1,KEN,Nairobi-Dagoretti,KEN_Nairobi-Dagoretti.637410_SWERA.epw
0,africa_wmo_region_1,KEN,Nairobi-Kenyatta,KEN_Nairobi-Kenyatta.637400_SWERA.epw
0,africa_wmo_region_1,KEN,Nairobi-Wilson,KEN_Nairobi-Wilson.637420_SWERA.epw
0,africa_wmo_region_1,KEN,Nairobi,KEN_Nairobi.637400_IWEC.epw
0,africa_wmo_region_1,KEN,Nakuru,KEN_Nakuru.637140_SWERA.epw
0,africa_wmo_region_1,KEN,Narok,KEN_Narok.637370_SWERA.epw
0,africa_wmo_region_1,KEN,Nyeri,KEN_Nyeri.637170_SWERA.epw
0,africa_wmo_region_1,KEN,Voi,KEN_Voi.637930_SWERA.epw
0,africa_wmo_region_1,LBY,Tripoli,LBY_Tripoli.620100_IWEC.epw
0,africa_wmo_region_1,MAR,Casablanca.Nouasser,MAR_Casablanca.Nouasser.601560_IWEC.epw
0,africa_wmo_region_1,MDG,Antananarivo,MDG_Antananarivo.670830_IWEC.epw
0,africa_wmo_region_1,SEN,Dakar,SEN_Dakar.616410_IWEC.epw
0,africa_wmo_region_1,TUN,Tunis,TUN_Tunis.607150_IWEC.epw
0,africa_wmo_region_1,ZAF,Cape.Town,ZAF_Cape.Town.688160_IWEC.epw
0,africa_wmo_region_1,ZAF,Johannesburg,ZAF_Johannesburg.683680_IWEC.epw
0,africa_wmo_region_1,ZWE,Harare,ZWE_Harare.677750_IWEC.epw
0,asia_wmo_region_2,ARE,Abu.Dhabi,ARE_Abu.Dhabi.412170_IWEC.epw
0,asia_wmo_region_2,BGD,Bogra,BGD_Bogra.418830_SWERA.epw
0,asia_wmo_region_2,BGD,Chittagong-Patenga,BGD_Chittagong-Patenga.419780_SWERA.epw
0,asia_wmo_region_2,BGD,Coxs.Bazar,BGD_Coxs.Bazar.419920_SWERA.epw
0,asia_wmo_region_2,BGD,Dhaka,BGD_Dhaka.419230_SWERA.epw
0,asia_wmo_region_2,BGD,Ishurdi,BGD_Ishurdi.419070_SWERA.epw
0,asia_wmo_region_2,BGD,Jessore,BGD_Jessore.419360_SWERA.epw
0,asia_wmo_region_2,BGD,Rangpur,BGD_Rangpur.418590_SWERA.epw
0,asia_wmo_region_2,BGD,Sylhet,BGD_Sylhet.418910_SWERA.epw
0,asia_wmo_region_2,CHN,Anhui.Anqing,CHN_Anhui.Anqing.584240_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Bengbu,CHN_Anhui.Bengbu.582210_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Boxian,CHN_Anhui.Boxian.581020_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Dongcheng,CHN_Anhui.Dongcheng.583190_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Hefei,CHN_Anhui.Hefei.583210_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Hefei,CHN_Anhui.Hefei.583210_SWERA.epw
0,asia_wmo_region_2,CHN,Anhui.Huoshan,CHN_Anhui.Huoshan.583140_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Shouxian,CHN_Anhui.Shouxian.582150_CSWD.epw
0,asia_wmo_region_2,CHN,Anhui.Tunxi,CHN_Anhui.Tunxi.585310_CSWD.epw
0,asia_wmo_region_2,CHN,Beijing.Beijing,CHN_Beijing.Beijing.545110_CSWD.epw
0,asia_wmo_region_2,CHN,Beijing.Beijing,CHN_Beijing.Beijing.545110_IWEC.epw
0,asia_wmo_region_2,CHN,Beijing.Beijing,CHN_Beijing.Beijing.545110_SWERA.epw
0,asia_wmo_region_2,CHN,Beijing.Miyun,CHN_Beijing.Miyun.544160_CSWD.epw
0,asia_wmo_region_2,CHN,Chongqing.Chongqing.Shapingba,CHN_Chongqing.Chongqing.Shapingba.575160_CSWD.epw
0,asia_wmo_region_2,CHN,Chongqing.Chongqing.Shapingba,CHN_Chongqing.Chongqing.Shapingba.575160_SWERA.epw
0,asia_wmo_region_2,CHN,Chongqing.Youyang,CHN_Chongqing.Youyang.576330_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Congwu,CHN_Fujian.Congwu.591330_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Fuzhou,CHN_Fujian.Fuzhou.588470_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Jianou,CHN_Fujian.Jianou.587370_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Nanping,CHN_Fujian.Nanping.588340_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Shanghang,CHN_Fujian.Shanghang.589180_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Xiamen,CHN_Fujian.Xiamen.591340_CSWD.epw
0,asia_wmo_region_2,CHN,Fujian.Yongan,CHN_Fujian.Yongan.589210_CSWD.epw
0,asia_wmo_region_2,CHN,Gansu.Dunhuang,CHN_Gansu.Dunhuang.524180_CSWD.epw
0,asia_wmo_region_2,CHN,Gansu.Hezuo,CHN_Gansu.Hezuo.560800_CSWD.epw
0,asia_wmo_region_2,CHN,Gansu.Jiuquan,CHN_Gansu.Jiuquan.525330_CSWD.epw
0,asia_wmo_region_2,CHN,Gansu.Lanzhou,CHN_Gansu.Lanzhou.528890_CSWD.epw
0,asia_wmo_region_2,CHN,Gansu.Lanzhou,CHN_Gansu.Lanzhou.528890_IWEC.epw
