,City,Country Code,Filename,Lat,Long
0,ABU DHABI,ARE,ARE_Abu.Dhabi.412170_IWEC.epw,24.43,54.65
0,BOGRA,BGD,BGD_Bogra.418830_SWERA.epw,24.85,89.37
0,Chittagong/Patenga (CI,BGD,BGD_Chittagong-Patenga.419780_SWERA.epw,22.27,91.82
0,COX'S_BAZAR,BGD,BGD_Coxs.Bazar.419920_SWERA.epw,21.43,91.97
0,DHAKA/TEJGAON_(MIL),BGD,BGD_Dhaka.419230_SWERA.epw,23.77,90.38
0,ISHURDI,BGD,BGD_Ishurdi.419070_SWERA.epw,24.13,89.05
0,JESSORE_(CIV/MIL),BGD,BGD_Jessore.419360_SWERA.epw,23.18,89.17
0,RANGPUR,BGD,BGD_Rangpur.418590_SWERA.epw,25.73,89.23
0,SYLHET_OSMANI,BGD,BGD_Sylhet.418910_SWERA.epw,24.90,91.88
0,Anqing,CHN,CHN_Anhui.Anqing.584240_CSWD.epw,30.53,117.05
0,Bengbu,CHN,CHN_Anhui.Bengbu.582210_CSWD.epw,32.95,117.38
0,Boxian,CHN,CHN_Anhui.Boxian.581020_CSWD.epw,33.87,115.77
0,Dongcheng,CHN,CHN_Anhui.Dongcheng.583190_CSWD.epw,31.07,116.95
0,Hefei,CHN,CHN_Anhui.Hefei.583210_CSWD.epw,31.87,117.23
0,HEFEI/LUOGANG,CHN,CHN_Anhui.Hefei.583210_SWERA.epw,31.87,117.23
0,Huoshan,CHN,CHN_Anhui.Huoshan.583140_CSWD.epw,31.40,116.32
0,Shouxian,CHN,CHN_Anhui.Shouxian.582150_CSWD.epw,32.55,116.78
0,Tunxi,CHN,CHN_Anhui.Tunxi.585310_CSWD.epw,29.72,118.28
0,Beijing,CHN,CHN_Beijing.Beijing.545110_CSWD.epw,39.80,116.47
0,BEIJING,CHN,CHN_Beijing.Beijing.545110_IWEC.epw,39.80,116.47
0,BEIJING/PEKING,CHN,CHN_Beijing.Beijing.545110_SWERA.epw,39.93,116.28
0,Miyun,CHN,CHN_Beijing.Miyun.544160_CSWD.epw,40.38,116.87
0,Chongqing Shapingba,CHN,CHN_Chongqing.Chongqing.Shapingba.575160_CSWD.epw,29.58,106.47
0,CHONGQING/CHUNGKING,CHN,CHN_Chongqing.Chongqing.Shapingba.575160_SWERA.epw,29.52,106.48
0,Youyang,CHN,CHN_Chongqing.Youyang.576330_CSWD.epw,28.83,108.77
0,Congwu,CHN,CHN_Fujian.Congwu.591330_CSWD.epw,24.90,118.92
