,index,Date,Max Dry Bulb Temperature (F),Min Dry Bulb Temperature (F),Mean Dry Bulb Temperature (F),Total Dry Bulb Temperature (F),Max Wind Speed,Min Wind Speed,Mean Wind Speed,Total Wind Speed,Max Relative Humidity,Min Relative Humidity,Mean Relative Humidity,Total Relative Humidity,Max Snow Depth,Min Snow Depth,Mean Snow Depth,Total Snow Depth,Max Liquid Precipitation Depth,Min Liquid Precipitation Depth,Mean Liquid Precipitation Depth,Total Liquid Precipitation Depth,Max Liquid Precipitation Rate,Min Liquid Precipitation Rate,Mean Liquid Precipitation Rate,Total Liquid Precipitation Rate
0,0,01/01,33.08,33.08,26.284999999999997,630.8399999999999,4.3,4.3,2.479166666666667,59.50000000000001,27,27,20.125,483,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24,01/02,41.0,41.0,36.12500000000001,867.0000000000002,7.2,7.2,4.337499999999999,104.09999999999997,93,93,50.083333333333336,1202,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,48,01/03,37.4,37.4,22.077499999999997,529.8599999999999,11.3,11.3,6.0,144.0,93,93,48.083333333333336,1154,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,72,01/04,31.64,31.64,23.105,554.52,3.6,3.6,1.9374999999999998,46.49999999999999,55,55,41.208333333333336,989,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,96,01/05,35.96,35.96,32.3975,777.54,3.6,3.6,2.6625000000000005,63.90000000000001,98,98,74.08333333333333,1778,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,120,01/06,45.5,45.5,37.685,904.44,3.6,3.6,2.6374999999999997,63.3,87,87,74.125,1779,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,144,01/07,41.36,41.36,36.620000000000005,878.8800000000001,5.1,5.1,2.3833333333333333,57.199999999999996,89,89,82.91666666666667,1990,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,168,01/08,32.0,32.0,21.245000000000005,509.8800000000001,12.3,12.3,8.725,209.39999999999998,69,69,43.458333333333336,1043,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,192,01/09,27.32,27.32,21.0425,505.02000000000004,5.3,5.3,3.0916666666666663,74.19999999999999,50,50,36.583333333333336,878,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,216,01/10,32.0,32.0,25.174999999999997,604.1999999999999,3.1,3.1,2.1916666666666664,52.599999999999994,40,40,25.625,615,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,240,01/11,32.0,32.0,27.417500000000004,658.0200000000001,3.1,3.1,1.5958333333333334,38.300000000000004,52,52,37.0,888,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,264,01/12,45.86,45.86,32.6975,784.74,3.6,3.6,2.2833333333333337,54.800000000000004,61,61,35.875,861,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,288,01/13,48.019999999999996,48.019999999999996,39.12499999999999,938.9999999999999,4.6,4.6,2.641666666666667,63.400000000000006,53,53,39.166666666666664,940,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,312,01/14,39.38,39.38,36.5375,876.9,4.1,4.1,2.270833333333333,54.49999999999999,92,92,79.83333333333333,1916,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,336,01/15,34.88,34.88,33.222500000000004,797.34,4.1,4.1,2.7083333333333335,65.0,94,94,80.70833333333333,1937,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,360,01/16,29.3,29.3,23.599999999999994,566.3999999999999,6.2,6.2,4.124999999999999,98.99999999999999,61,61,44.083333333333336,1058,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,384,01/17,27.68,27.68,22.227500000000003,533.46,6.2,6.2,2.845833333333333,68.3,52,52,39.666666666666664,952,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,408,01/18,28.94,28.94,23.802499999999995,571.2599999999999,5.7,5.7,2.716666666666667,65.2,43,43,35.0,840,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,432,01/19,32.72,32.72,26.2175,629.22,2.1,2.1,1.1083333333333332,26.599999999999998,52,52,40.75,978,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,456,01/20,34.34,34.34,31.16,747.84,3.6,3.6,1.6166666666666665,38.8,61,61,51.75,1242,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,480,01/21,35.6,35.6,29.382500000000004,705.1800000000001,3.1,3.1,2.191666666666667,52.60000000000001,58,58,44.291666666666664,1063,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,504,01/22,37.04,37.04,30.7025,736.86,8.7,8.7,3.5208333333333326,84.49999999999999,58,58,44.791666666666664,1075,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,528,01/23,30.74,30.74,27.4025,657.66,6.2,6.2,4.195833333333332,100.69999999999997,55,55,36.833333333333336,884,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,552,01/24,28.58,28.58,24.185,580.4399999999999,5.1,5.1,3.170833333333333,76.1,46,46,36.875,885,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,576,01/25,27.14,27.14,21.889999999999997,525.3599999999999,6.2,6.2,4.395833333333333,105.49999999999999,46,46,34.75,834,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,600,01/26,28.04,28.04,22.4525,538.86,4.1,4.1,2.7416666666666667,65.8,52,52,34.916666666666664,838,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,624,01/27,34.52,34.52,30.185000000000006,724.4400000000002,7.2,7.2,4.454166666666667,106.89999999999999,80,80,57.375,1377,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,648,01/28,40.64,40.64,35.39,849.36,7.7,7.7,4.437499999999999,106.49999999999999,85,85,63.875,1533,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
